Win,Month,Day,Year,Weekday,Time,RoadTeam,Locale,HomeTeam,Conference,RoadTeamPoints,OT
1,Jan,3,2018,Wed,9:00 pm/est,Missouri,@,South Carolina,SEC,79,
0,Feb,10,2016,Wed,7:00 pm/est,Providence,@,Marquette,Big East,91,2OT
0,Jan,2,2016,Sat,2:00 pm/est,Tennessee,@,Auburn,SEC,77,
0,Feb,3,2016,Wed,7:00 pm/est,Arkansas,@,Florida,SEC,83,
1,Feb,18,2016,Thu,10:00 pm/est,Utah,@,UCLA,Pac-12,75,
1,Feb,6,2016,Sat,6:30 pm/est,Arizona State,@,Washington State,Pac-12,67,
0,Jan,7,2017,Sat,5:00 pm/est,Illinois,@,Indiana (25),Big Ten,80,
0,Feb,18,2015,Wed,8:00 pm/est,Kansas State,@,Texas Christian,Big 12,55,
0,Feb,7,2015,Sat,1:00 pm/est,Notre Dame,@,Duke (4),ACC,60,
0,Mar,7,2015,Sat,2:00 pm/est,St. John's,@,Villanova (4),Big East,68,
0,Mar,4,2017,Sat,2:30 pm/est,Creighton,@,Marquette,Big East,83,
1,Feb,28,2015,Sat,9:00 pm/est,Arizona,@,Utah (13),Pac-12,63,
1,Mar,4,2015,Wed,7:00 pm/est,Providence,@,Seton Hall,Big East,79,
0,Feb,28,2016,Sun,8:30 pm/est,Washington,@,Oregon (13),Pac-12,73,
1,Mar,3,2015,Tue,7:00 pm/est,North Carolina,@,Georgia Tech,ACC,81,
1,Feb,23,2017,Thu,9:00 pm/est,UCLA,@,Arizona State,Pac-12,87,
1,Jan,14,2018,Sun,7:00 pm/est,Ohio State,@,Rutgers,Big Ten,68,
0,Jan,25,2018,Thu,8:30 pm/est,Colorado,@,Arizona (11),Pac-12,71,
0,Mar,4,2017,Sat,1:00 pm/est,Alabama,@,Tennessee,SEC,54,
1,Feb,20,2018,Tue,9:00 pm/est,Mississippi,@,Missouri,SEC,90,OT
1,Jan,1,2017,Sun,4:30 pm/est,Minnesota,@,Purdue (15),Big Ten,91,OT
1,Mar,1,2017,Wed,9:00 pm/est,Kansas State,@,Texas Christian,Big 12,75,
1,Jan,24,2018,Wed,7:00 pm/est,South Carolina,@,Florida (20),SEC,77,
1,Feb,18,2016,Thu,11:00 pm/est,California,@,Washington,Pac-12,78,
1,Jan,25,2018,Thu,9:30 pm/est,Utah,@,Arizona State (21),Pac-12,80,OT
1,Feb,7,2017,Tue,8:00 pm/est,Illinois,@,Northwestern,Big Ten,68,
0,Feb,20,2018,Tue,9:00 pm/est,Indiana,@,Nebraska,Big Ten,57,
0,Jan,13,2018,Sat,2:00 pm/est,Oregon,@,Arizona (17),Pac-12,83,
1,Jan,30,2018,Tue,7:00 pm/est,TCU,@,Oklahoma State,Big 12,79,
0,Jan,13,2016,Wed,8:15 pm/est,TCU,@,Baylor (22),Big 12,54,
0,Jan,27,2015,Tue,7:00 pm/est,Nebraska,@,Michigan,Big Ten,44,
0,Mar,4,2015,Wed,8:00 pm/est,Wake Forest,@,Duke (3),ACC,51,
0,Feb,4,2014,Tue,,Maryland,@,North Carolina,ACC,63,
1,Jan,6,2015,Tue,7:00 pm/est,Arkansas,@,Georgia,SEC,79,
0,Jan,17,2015,Sat,4:00 pm/est,Michigan State,@,Maryland (14),Big Ten,59,
0,Jan,27,2018,Sat,8:30 pm/est,Missouri,@,Mississippi State,SEC,62,
0,Mar,4,2015,Wed,8:00 pm/est,Purdue,@,Michigan State,Big Ten,66,
1,Feb,2,2016,Tue,8:00 pm/est,Clemson,@,Wake Forest,ACC,76,
0,Feb,1,2015,Sun,1:00 pm/est,Michigan,@,Michigan State,Big Ten,66,OT
